,Track Name,Artist,Streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_sec
148,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,4633160,0.683,0.53,5,-4.918,0,0.142,0.207,0.0,0.394,0.645,75.016,4,190
149,Despacito (Featuring Daddy Yankee),Luis Fonsi,4610849,0.66,0.786,2,-4.757,1,0.17,0.209,0.0,0.112,0.846,177.833,4,228
150,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,4553922,0.696,0.817,1,-3.862,1,0.109,0.075,0.0,0.187,0.782,98.064,4,216
151,Come Alive,Hugh Jackman,4536557,0.702,0.77,7,-9.411,1,0.128,0.00558,0.000802,0.211,0.235,118.034,4,225
152,Déjate Llevar,Juan Magán,4520818,0.675,0.724,7,-5.503,1,0.0787,0.0166,0.0,0.697,0.506,92.051,4,233
153,From Now On,Hugh Jackman,4505855,0.516,0.518,4,-10.383,1,0.04,0.00483,0.00895,0.585,0.0834,108.027,4,349
154,Issues,Julia Michaels,4505291,0.725,0.42,8,-6.811,1,0.0811,0.427,0.0,0.061,0.424,113.975,4,176
155,White Iverson,Post Malone,4414589,0.674,0.568,7,-7.678,1,0.0349,0.216,0.0,0.0863,0.321,130.081,4,256
156,One Dance,Drake,4406393,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,4,173
157,Slippery (feat. Gucci Mane),Migos,4380716,0.92,0.674,1,-5.662,0,0.264,0.307,0.0,0.104,0.741,141.967,4,304
